GEOGID,GEOGTYPE,GEOGDESC
E06007,ED,Ballybrackan
E06008,ED,Ballyshannon
E06009,ED,Belan
E06010,ED,Bert
E06011,ED,Burtown
E06012,ED,Carrigeen
E06013,ED,Castledermot
E06014,ED,Churchtown
E06015,ED,Dunmanoge
E06016,ED,Fontstown
E06017,ED,Graney
E06018,ED,Grangemellon
E06019,ED,Harristown
E06020,ED,Inchaquire
E06021,ED,Johnstown
E06022,ED,Kilberry
E06023,ED,Kildangan
E06024,ED,Kilkea
E06025,ED,Kilrush
E06026,ED,Lackagh
E06027,ED,Monasterevin
E06028,ED,Moone
E06029,ED,Narraghmore
E06030,ED,Nurney
E06031,ED,Quinsborough
E06032,ED,Skerries
E06033,ED,Balraheen
E06034,ED,Celbridge
E06035,ED,Cloncurry
E06036,ED,Donadea
E06037,ED,Donaghcumper
E06038,ED,Kilcock
E06039,ED,Leixlip
E06040,ED,Maynooth
E06041,ED,Straffan
E06042,ED,Ballynadrumny
E06043,ED,Cadamstown
E06044,ED,Carbury
E06045,ED,Carrick
E06046,ED,Cloncurry
E06047,ED,Drehid
E06048,ED,Dunfierth
E06049,ED,Killinthomas
E06050,ED,Kilpatrick
E06051,ED,Kilrainy
E06052,ED,Lullymore
E06053,ED,Rathangan
E06054,ED,Thomastown
E06055,ED,Windmill Cross
E06056,ED,Ballymore Eustace
E06057,ED,Ballysax East
E06058,ED,Ballysax West
E06059,ED,Bodenstown
E06060,ED,Carnalway
E06061,ED,Carragh
E06062,ED,Clane
E06063,ED,Donore
E06064,ED,Downings
E06065,ED,Droichead Nua (Newbridge) Rural
E06066,ED,Droichead Nua (Newbridge) Urban
E06067,ED,Dunmurry
E06068,ED,Feighcullen
E06069,ED,Gilltown
E06070,ED,Kilcullen
E06071,ED,Kildare
E06072,ED,Kill
E06073,ED,Killashee
E06074,ED,Kilmeage North
E06075,ED,Kilmeage South
E06076,ED,Kilteel
E06077,ED,Ladytown
E06078,ED,Morristownbiller
E06079,ED,Naas Rural
E06080,ED,Newtown
E06081,ED,Oldconnell
E06082,ED,Oughterard
E06083,ED,Pollardstown
E06084,ED,Rathernan
E06085,ED,Rathmore
E06086,ED,Robertstown
E06087,ED,Timahoe North
E06088,ED,Timahoe South
E06089,ED,Usk
E07001,ED,Kilkenny No. 1 Urban
E07002,ED,Kilkenny No. 2 Urban
E07003,ED,Burnchurch
E07004,ED,Callan Rural
E07005,ED,Callan Urban
E07006,ED,Coolaghmore
E07007,ED,Dunamaggan
E07008,ED,Earlstown
E07009,ED,Kells
E07010,ED,Killamery
E07011,ED,Kilmaganny
E07012,ED,Kilmanagh
E07013,ED,Mallardstown
E07014,ED,Scotsborough
E07015,ED,Tullaghanbrogue
E07016,ED,Boolyglass
E07017,ED,Fiddown
E07018,ED,Muckalee
E07019,ED,Pilltown
E07020,ED,Templeorum
E07021,ED,Tubbrid
E07022,ED,Tullahought
E07023,ED,Whitechurch
E07024,ED,Attanagh
E07025,ED,Ballyragget
E07026,ED,Castlecomer
E07027,ED,Clogh
E07028,ED,Clogharinka
E07029,ED,Kilmacar
E07030,ED,Moneenroe
E07031,ED,Mothell
E07032,ED,Muckalee
E07033,ED,Brownsford
E07034,ED,Dysartmoon
E07035,ED,Jerpoint West
E07036,ED,Listerlin
E07037,ED,Rosbercon Rural
E07038,ED,Shanbogh
E07039,ED,The Rower
E07040,ED,Ballinamara
E07041,ED,Ballybeagh
E07042,ED,Ballycallan
E07043,ED,Clara
E07044,ED,Coolcraheen
E07045,ED,Dunbell
E07046,ED,Dunmore
E07047,ED,Freshford
E07048,ED,Gowran
E07049,ED,Grange
E07050,ED,Kilkenny Rural
E07051,ED,Kilkieran
E07052,ED,Odagh
E07053,ED,Outrath
E07054,ED,Paulstown
E07055,ED,Rathcoole
E07056,ED,Rathealy
E07057,ED,St. Canice
E07058,ED,Shankill
E07059,ED,Tiscoffin
E07060,ED,Tullaroan
E07061,ED,Aghaviller
E07062,ED,Ballyhale
E07063,ED,Ballyvool
E07064,ED,Bennettsbridge
E07065,ED,Bramblestown
E07066,ED,Castlebanny
E07067,ED,Castlegannon
E07068,ED,Coolhill
E07069,ED,Danesfort
E07070,ED,Ennisnag
E07071,ED,Famma
E07072,ED,Freaghana
E07073,ED,Goresbridge
E07074,ED,Graiguenamanagh
E07075,ED,Inistioge
E07076,ED,Jerpoint Church
E07077,ED,Kilfane
E07078,ED,Kilkeasy
E07079,ED,Kiltorcan
E07080,ED,Knocktopher
E07081,ED,Pleberstown
E07082,ED,Powerstown
E07083,ED,Stonyford
E07084,ED,Thomastown
E07085,ED,Tullaherin
E07086,ED,Ullard
E07087,ED,Woolengrange
E07088,ED,Balleen
E07089,ED,Ballyconra
E07090,ED,Baunmore
E07091,ED,Clomantagh
E07092,ED,Galmoy
E07093,ED,Glashare
E07094,ED,Johnstown
E07095,ED,Lisdowney
E07096,ED,Rathbeagh
E07097,ED,Tubbridbrittain
E07098,ED,Urlingford
E07099,ED,Aglish
E07100,ED,Ballincrea
E07101,ED,Dunkitt
E07102,ED,Farnoge
E07103,ED,Kilbeacon
E07104,ED,Kilbride
E07105,ED,Kilcolumb
E07106,ED,Kilculliheen (part)
E07107,ED,Killahy
E07108,ED,Kilmakevoge
E07109,ED,Pollrone
E07110,ED,Portnascully
E07111,ED,Rathpatrick
E07112,ED,Rossinan
E07113,ED,Ullid
E08001,ED,Abbeyleix
E08002,ED,Aghmacart
E08003,ED,Ballinakill
E08004,ED,Ballyroan
E08005,ED,Blandsfort
E08006,ED,Caher
E08007,ED,Castletown
E08008,ED,Clash
E08009,ED,Clonkeen
E08010,ED,Colt
E08011,ED,Cuffsborough
E08012,ED,Cullahill
E08013,ED,Cullenagh
E08014,ED,Donaghmore
E08015,ED,Donore
E08016,ED,Dunmore
E08017,ED,Durrow
E08018,ED,Dysartgallen
E08019,ED,Fossy
E08020,ED,Grantstown
E08021,ED,Kilcoke
E08022,ED,Kildellig
E08023,ED,Killermogh
E08024,ED,Kilnaseer
E08025,ED,Raheen
E08026,ED,Rathdowney
E08027,ED,Timahoe
E08028,ED,Ballyadams
E08029,ED,Ballylynan
E08030,ED,Barrowhouse
E08031,ED,Curraclone
E08032,ED,Killabban
E08033,ED,Luggacurren
E08034,ED,Moyanna
E08035,ED,Rathaspick
